name,profile,url,bias,factual,credibility
New Republic – Bias and Credibility,https://mediabiasfactcheck.com/new-republic/,www.newrepublic.com,left,high,high credibility
Accountable.US – Bias and Credibility,https://mediabiasfactcheck.com/accountable-us/,www.accountable.us,left,mostly,medium credibility
News Corpse – Bias and Credibility,https://mediabiasfactcheck.com/news-corpse/,www.newscorpse.com,left,mixed,medium credibility
NewsHounds – Bias and Credibility,https://mediabiasfactcheck.com/newshounds/,www.newshounds.us,left,mixed,medium credibility
Occupy.com – Bias and Credibility,https://mediabiasfactcheck.com/occupy-com/,www.occupy.com,left,high,high credibility
Bellingham Metro News – Bias and Credibility,https://mediabiasfactcheck.com/bellingham-metro-news/,www.bellinghammetronews.com,right-center,mostly,medium credibility
AlterNet – Bias and Credibility,https://mediabiasfactcheck.com/alternet/,www.alternet.org,left,mixed,medium credibility
Breaking Defense – Bias and Credibility,https://mediabiasfactcheck.com/breaking-defense/,www.breakingdefense.com,right-center,high,high credibility
Baltimore City Paper – Bias and Credibility,https://mediabiasfactcheck.com/baltimore-city-paper/,www.baltimoresun.com,left,mostly,high credibility
California Globe – Bias and Credibility,https://mediabiasfactcheck.com/california-globe/,www.californiaglobe.com,right-center,mixed,medium credibility
Boing Boing – Bias and Credibility,https://mediabiasfactcheck.com/boing-boing/,www.boingboing.net,left,mixed,medium credibility
B’Tselem – Bias and Credibility,https://mediabiasfactcheck.com/btselem-bias/,www.btselem.org,left,mostly,medium credibility
Chicago Tribune – Bias and Credibility,https://mediabiasfactcheck.com/chicago-tribune/,www.chicagotribune.com,right-center,high,high credibility
Cleveland Daily Banner – Bias and Credibility,https://mediabiasfactcheck.com/cleveland-daily-banner-bias/,www.clevelandbanner.com,right-center,high,high credibility
Columbia Daily Herald – Bias and Credibility,https://mediabiasfactcheck.com/columbia-daily-herald/,www.columbiadailyherald.com,right-center,high,high credibility
Code Pink – Bias and Credibility,https://mediabiasfactcheck.com/code-pink/,www.codepink.org,left,mixed,medium credibility
ColorLines – Bias and Credibility,https://mediabiasfactcheck.com/colorlines/,www.colorlines.com,left,high,no credibility rating available
Comic Sands – Bias and Credibility,https://mediabiasfactcheck.com/comic-sands/,www.comicsands.com,left,mixed,medium credibility
Deccan Chronicle – Bias and Credibility,https://mediabiasfactcheck.com/deccan-chronicle/,www.deccanchronicle.com,right-center,mostly,high credibility
Detroit News – Bias and Credibility,https://mediabiasfactcheck.com/detroit-news/,www.detroitnews.com,right-center,high,high credibility
Dowagiac Daily News – Bias and Credibility,https://mediabiasfactcheck.com/dowagiac-daily-news-bias/,www.leaderpub.com,right-center,high,high credibility
Eclectic Observer – Bias and Credibility,https://mediabiasfactcheck.com/eclectic-observer-bias/,www.thewetumpkaherald.com,right-center,high,high credibility
Democracy Guardian – Bias and Credibility,https://mediabiasfactcheck.com/democracy-guardian/,www.democracyguardian.com,left,mostly,medium credibility
Entrepreneur Magazine – Bias and Credibility,https://mediabiasfactcheck.com/entrepreneur-magazine/,www.entrepreneur.com,right-center,high,high credibility
Financial Express – Bias and Credibility,https://mediabiasfactcheck.com/financial-express/,www.financialexpress.com,right-center,mixed,medium credibility
FitsNews – Bias and Credibility,https://mediabiasfactcheck.com/fitsnews/,www.fitsnews.com,right-center,mostly,medium credibility
Food and Water Watch – Bias and Credibility,https://mediabiasfactcheck.com/food-and-water-watch/,www.foodandwaterwatch.org,left,mixed,medium credibility
Freedom News and Journal – Bias and Credibility,https://mediabiasfactcheck.com/freedom-news-and-journal/,freedomnews.org.uk,left,high,high credibility
